секунда,широта,долгота,высота,заряд,режим,шаг
0,-35.3632622,149.1652374,584.09,0.0,STABILIZE,INIT
1,-35.3632622,149.1652374,584.09,100.0,STABILIZE,SET_GUIDED_MODE
1,-35.3632622,149.1652374,584.09,100.0,GUIDED,SEND_ARMING
2,-35.3632622,149.1652374,584.09,100.0,GUIDED,SEND_TAKEOFF
2,-35.3632622,149.1652374,584.09,100.0,GUIDED,WAIT_TAKEOFF_COMPLETE
3,-35.3632622,149.1652374,584.09,100.0,GUIDED,WAIT_TAKEOFF_COMPLETE
3,-35.3632622,149.1652374,584.09,100.0,GUIDED,WAIT_TAKEOFF_COMPLETE
4,-35.3632622,149.1652374,584.09,100.0,GUIDED,WAIT_TAKEOFF_COMPLETE
4,-35.3632622,149.1652374,584.09,100.0,GUIDED,WAIT_TAKEOFF_COMPLETE
5,-35.3632622,149.1652374,584.09,99.0,GUIDED,WAIT_TAKEOFF_COMPLETE
5,-35.3632622,149.1652374,584.19,99.0,GUIDED,WAIT_TAKEOFF_COMPLETE
6,-35.3632622,149.1652374,584.71,99.0,GUIDED,WAIT_TAKEOFF_COMPLETE
6,-35.3632622,149.1652374,585.37,99.0,GUIDED,WAIT_TAKEOFF_COMPLETE
7,-35.3632622,149.1652374,586.25,99.0,GUIDED,WAIT_TAKEOFF_COMPLETE
7,-35.3632622,149.1652374,587.30,99.0,GUIDED,WAIT_TAKEOFF_COMPLETE
8,-35.3632622,149.1652374,588.24,98.0,GUIDED,WAIT_TAKEOFF_COMPLETE
8,-35.3632622,149.1652374,588.81,98.0,GUIDED,WAIT_TAKEOFF_COMPLETE
9,-35.3632622,149.1652374,589.10,98.0,GUIDED,FLY_TO_POINT
9,-35.3632622,149.1652374,589.18,98.0,GUIDED,FLY_TO_POINT
10,-35.3632584,149.1652374,589.44,98.0,GUIDED,FLY_TO_POINT
10,-35.3632469,149.1652374,589.91,98.0,GUIDED,FLY_TO_POINT
11,-35.3632317,149.1652374,590.41,98.0,GUIDED,FLY_TO_POINT
11,-35.3632126,149.1652374,590.88,98.0,GUIDED,FLY_TO_POINT
12,-35.3631859,149.1652374,591.33,97.0,GUIDED,FLY_TO_POINT
12,-35.3631554,149.1652374,591.74,97.0,GUIDED,FLY_TO_POINT
13,-35.3631210,149.1652374,592.15,97.0,GUIDED,FLY_TO_POINT
13,-35.3630829,149.1652374,592.56,97.0,GUIDED,FLY_TO_POINT
14,-35.3630371,149.1652374,592.99,97.0,GUIDED,FLY_TO_POINT
14,-35.3630295,149.1652374,593.08,97.0,GUIDED,FLY_TO_POINT
15,-35.3630295,149.1652374,593.08,97.0,GUIDED,FLY_TO_POINT
15,-35.3630295,149.1652374,593.08,97.0,GUIDED,FLY_TO_POINT
16,-35.3630295,149.1652374,593.08,97.0,GUIDED,FLY_TO_POINT
16,-35.3630295,149.1652374,593.08,97.0,GUIDED,FLY_TO_POINT
17,-35.3630295,149.1652374,593.08,97.0,GUIDED,FLY_TO_POINT
17,-35.3630295,149.1652374,593.08,97.0,GUIDED,FLY_TO_POINT
18,-35.3630295,149.1652374,593.08,97.0,GUIDED,FLY_TO_POINT
